Model,MAE,RMSE,R2_Score
Random Forest,1383.360826938481,3472.8604129172836,0.9768716580359529
XGBoost,2436.1123450955165,4416.672605303232,0.9625923643522608
Decision Tree,2198.9136147590343,5075.799634291392,0.9505941034509047
Linear Regression,14557.253561039435,21739.731974548755,0.09368698780910745
